Text,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day_of_Week,Clean_Text,Vader_Score,Sentiment,temp_list
 Just published a new blog post. Check it out!      ,2023-01-17 15:15:00, BloggerX     ,Instagram,22,45,USA,2023,January,Tuesday,publish new blog post check,0.0,neutral,"['publish', 'new', 'blog', 'post', 'check']"
 Feeling a bit under the weather today.             ,2023-01-18 10:30:00, WellnessCheck,Twitter,7,15,Canada,2023,January,Wednesday,feel bit weather today,0.0,neutral,"['feel', 'bit', 'weather', 'today']"
 Exploring the city's hidden gems.                  ,2023-01-18 14:50:00, UrbanExplorer,Facebook,12,25,UK,2023,January,Wednesday,explor citi hidden gem,0.0,neutral,"['explor', 'citi', 'hidden', 'gem']"
" New year, new fitness goals! 💪                    ",2023-01-18 18:00:00, FitJourney   ,Instagram,28,55,USA,2023,January,Wednesday,new year new fit goal,0.3612,positive,"['new', 'year', 'new', 'fit', 'goal']"
 Technology is changing the way we live.            ,2023-01-19 09:45:00, TechEnthusiast,Twitter,15,30,India,2023,January,Thursday,technolog chang way live,0.0,neutral,"['technolog', 'chang', 'way', 'live']"
 Reflecting on the past and looking ahead.          ,2023-01-19 13:20:00, Reflections  ,Facebook,20,40,USA,2023,January,Thursday,reflect past look ahead,0.0,neutral,"['reflect', 'past', 'look', 'ahead']"
 Just adopted a cute furry friend! 🐾              ,2023-01-19 17:10:00, PetAdopter   ,Instagram,15,30,Canada,2023,January,Thursday,adopt cute furri friend,0.7845,positive,"['adopt', 'cute', 'furri', 'friend']"
 Late-night gaming session with friends.            ,2023-01-20 00:05:00, GamerX       ,Twitter,18,35,UK,2023,January,Friday,latenight game session friend,0.4939,positive,"['latenight', 'game', 'session', 'friend']"
 Attending a virtual conference on AI.              ,2023-01-20 11:30:00, TechConference,Facebook,25,50,USA,2023,January,Friday,attend virtual confer ai,0.0,neutral,"['attend', 'virtual', 'confer', 'ai']"
 Winter blues got me feeling low.                   ,2023-01-20 15:15:00, WinterBlues  ,Instagram,8,15,USA,2023,January,Friday,winter blue got feel low,-0.2732,negative,"['winter', 'blue', 'got', 'feel', 'low']"
 Sipping coffee and enjoying a good book.           ,2023-01-21 08:40:00, Bookworm     ,Twitter,22,45,India,2023,January,Saturday,sip coffe enjoy good book,0.7269,positive,"['sip', 'coffe', 'enjoy', 'good', 'book']"
 Exploring the world of virtual reality.            ,2023-01-21 13:20:00, VRExplorer   ,Facebook,15,30,USA,2023,January,Saturday,explor world virtual realiti,0.0,neutral,"['explor', 'world', 'virtual', 'realiti']"
 Productive day ticking off my to-do list.          ,2023-01-21 16:45:00, ProductivityPro,Instagram,30,60,USA,2023,January,Saturday,product day tick todo list,0.0,neutral,"['product', 'day', 'tick', 'todo', 'list']"
 Just finished a challenging workout routine.       ,2023-01-22 09:15:00, FitnessWarrior,Twitter,20,40,UK,2023,January,Sunday,finish challeng workout routin,0.0,neutral,"['finish', 'challeng', 'workout', 'routin']"
 Celebrating a milestone at work! 🎉               ,2023-01-22 14:30:00, CareerMilestone,Facebook,12,25,Canada,2023,January,Sunday,celebr mileston work,0.0,neutral,"['celebr', 'mileston', 'work']"
 Sunday brunch with friends.                        ,2023-01-22 12:00:00, BrunchBuddy  ,Instagram,15,30,UK,2023,January,Sunday,sunday brunch friend,0.4939,positive,"['sunday', 'brunch', 'friend']"
 Learning a new language for personal growth.       ,2023-01-23 16:20:00, LanguageLearner,Facebook,25,50,India,2023,January,Monday,learn new languag person growth,0.3818,positive,"['learn', 'new', 'languag', 'person', 'growth']"
 Quiet evening with a good book.                    ,2023-01-23 19:45:00, BookLover    ,Instagram,15,30,Australia,2023,January,Monday,quiet even good book,0.4404,positive,"['quiet', 'even', 'good', 'book']"
 Reflecting on the importance of mental health.     ,2023-01-24 11:30:00, MentalHealthMatters,Twitter,22,45,USA,2023,January,Tuesday,reflect import mental health,0.0,neutral,"['reflect', 'import', 'mental', 'health']"
 New painting in progress! 🎨                       ,2023-01-24 15:00:00, ArtistInAction,Facebook,12,25,Canada,2023,January,Tuesday,new paint progress,0.4215,positive,"['new', 'paint', 'progress']"
 Weekend road trip to explore scenic views.         ,2023-01-24 17:30:00, RoadTripper  ,Instagram,18,35,UK,2023,January,Tuesday,weekend road trip explor scenic view,0.0,neutral,"['weekend', 'road', 'trip', 'explor', 'scenic', 'view']"
 Enjoying a cup of tea and watching the sunset.     ,2023-01-25 18:00:00, SunsetWatcher,Twitter,15,30,India,2023,January,Wednesday,enjoy cup tea watch sunset,0.4939,positive,"['enjoy', 'cup', 'tea', 'watch', 'sunset']"
 Coding a new project with enthusiasm.              ,2023-01-25 13:15:00, CodeEnthusiast,Facebook,30,60,USA,2023,January,Wednesday,code new project enthusiasm,0.4404,positive,"['code', 'new', 'project', 'enthusiasm']"
 Feeling inspired after attending a workshop.       ,2023-01-26 09:45:00, WorkshopAttendee,Instagram,25,50,USA,2023,January,Thursday,feel inspir attend workshop,0.0,neutral,"['feel', 'inspir', 'attend', 'workshop']"
 Winter sports day at the local park.               ,2023-01-26 14:20:00, WinterSports  ,Twitter,15,30,Canada,2023,January,Thursday,winter sport day local park,0.0,neutral,"['winter', 'sport', 'day', 'local', 'park']"
 Quality time with family this weekend.             ,2023-01-26 17:40:00, FamilyTime   ,Facebook,22,45,UK,2023,January,Thursday,qualiti time famili weekend,0.0,neutral,"['qualiti', 'time', 'famili', 'weekend']"
 Attending a live music concert tonight.            ,2023-01-27 20:00:00, MusicLover   ,Instagram,18,35,USA,2023,January,Friday,attend live music concert tonight,0.0,neutral,"['attend', 'live', 'music', 'concert', 'tonight']"
 Practicing mindfulness with meditation.            ,2023-01-27 12:30:00, MindfulMoments,Twitter,15,30,India,2023,January,Friday,practic mind medit,0.0,neutral,"['practic', 'mind', 'medit']"
 Trying out a new dessert recipe.                   ,2023-01-27 16:10:00, DessertExplorer,Facebook,12,25,Canada,2023,January,Friday,tri new dessert recip,0.0,neutral,"['tri', 'new', 'dessert', 'recip']"
 Excited about the upcoming gaming tournament.      ,2023-01-28 09:00:00, GamingEnthusiast,Instagram,30,60,USA,2023,January,Saturday,excit upcom game tournament,0.0,neutral,"['excit', 'upcom', 'game', 'tournament']"
 Planning a garden makeover for spring.             ,2023-01-28 14:45:00, GardenPlanner ,Twitter,25,50,USA,2023,January,Saturday,plan garden makeov spring,0.0,neutral,"['plan', 'garden', 'makeov', 'spring']"
 Celebrating a friend's birthday tonight! 🎂       ,2023-01-28 19:30:00, BirthdayBash ,Facebook,15,30,UK,2023,January,Saturday,celebr friend birthday tonight,0.4939,positive,"['celebr', 'friend', 'birthday', 'tonight']"
 Feeling accomplished after a productive day.       ,2023-01-29 17:00:00, ProductivityWin,Instagram,22,45,India,2023,January,Sunday,feel accomplish product day,0.4215,positive,"['feel', 'accomplish', 'product', 'day']"
 A cozy evening with a good movie.                 ,2023-01-29 20:20:00, MovieNight   ,Twitter,18,35,Canada,2023,January,Sunday,cozi even good movi,0.4404,positive,"['cozi', 'even', 'good', 'movi']"
 Exploring local art galleries this weekend.        ,2023-01-30 11:30:00, ArtExplorer  ,Facebook,15,30,USA,2023,January,Monday,explor local art galleri weekend,0.0,neutral,"['explor', 'local', 'art', 'galleri', 'weekend']"
 New book release from my favorite author!          ,2023-01-30 15:45:00, BookwormX    ,Instagram,12,25,UK,2023,January,Monday,new book releas favorit author,0.0,neutral,"['new', 'book', 'releas', 'favorit', 'author']"
 Attending a virtual reality meetup.                ,2023-01-30 18:30:00, VRMeetup     ,Twitter,28,55,India,2023,January,Monday,attend virtual realiti meetup,0.0,neutral,"['attend', 'virtual', 'realiti', 'meetup']"
 Reflecting on the beauty of nature.                ,2023-01-31 10:45:00, NatureLover  ,Facebook,15,30,Australia,2023,January,Tuesday,reflect beauti natur,0.0,neutral,"['reflect', 'beauti', 'natur']"
 Cooking a special dinner for loved ones.           ,2023-01-31 19:00:00, ChefAtHome   ,Instagram,20,40,USA,2023,January,Tuesday,cook special dinner love one,0.7845,positive,"['cook', 'special', 'dinner', 'love', 'one']"
 Feeling optimistic about the week ahead.           ,2023-01-31 16:20:00, OptimisticMindset,Twitter,15,30,Canada,2023,January,Tuesday,feel optimist week ahead,0.5267,positive,"['feel', 'optimist', 'week', 'ahead']"
 Starting a new fitness challenge tomorrow! 💪     ,2023-02-01 08:00:00, FitnessChallenge,Facebook,22,45,UK,2023,February,Wednesday,start new fit challeng tomorrow,0.3612,positive,"['start', 'new', 'fit', 'challeng', 'tomorrow']"
 Sunday bike ride through scenic trails.           ,2023-02-01 13:30:00, BikeExplorer  ,Instagram,18,35,USA,2023,February,Wednesday,sunday bike ride scenic trail,0.0,neutral,"['sunday', 'bike', 'ride', 'scenic', 'trail']"
 Can't believe the injustice happening in our society.,2023-02-11 09:30:00, SocialJustice   ,Twitter,20,40,Canada,2023,February,Saturday,cant believ injustic happen societi,0.0,neutral,"['cant', 'believ', 'injustic', 'happen', 'societi']"
 Feeling a sense of fear after watching a thriller movie. ,2023-02-11 21:15:00, ThrillerFan     ,Instagram,15,30,USA,2023,February,Saturday,feel sens fear watch thriller movi,-0.4215,negative,"['feel', 'sens', 'fear', 'watch', 'thriller', 'movi']"
 Heartbroken after hearing the news about a natural disaster. ,2023-02-12 14:45:00, EmpathyFirst    ,Facebook,25,50,India,2023,February,Sunday,heartbroken hear news natur disast,-0.6486,negative,"['heartbroken', 'hear', 'news', 'natur', 'disast']"
 The state of the world's environment is just disgusting. ,2023-02-12 18:20:00, EcoAwareness    ,Twitter,18,35,UK,2023,February,Sunday,state world environ disgust,-0.5994,negative,"['state', 'world', 'environ', 'disgust']"
 Pure happiness: celebrating a loved one's achievement! ,2023-02-13 10:00:00, ProudFriend     ,Instagram,30,60,USA,2023,February,Monday,pure happi celebr love one achiev,0.6369,positive,"['pure', 'happi', 'celebr', 'love', 'one', 'achiev']"
 Laughter is the best medicine—enjoying a comedy show. ,2023-02-13 19:30:00, ComedyFan       ,Facebook,22,45,Canada,2023,February,Monday,laughter best medicineenjoy comedi show,0.8126,positive,"['laughter', 'best', 'medicineenjoy', 'comedi', 'show']"
 Sharing love and positive vibes with everyone! ❤️      ,2023-02-14 08:30:00, LoveSpreader    ,Twitter,15,30,Australia,2023,February,Tuesday,share love posit vibe everyon,0.7506,positive,"['share', 'love', 'posit', 'vibe', 'everyon']"
 An amusing incident brightened up my day!               ,2023-02-14 14:20:00, AmusedSoul      ,Instagram,18,35,UK,2023,February,Tuesday,amus incid brighten day,0.4404,positive,"['amus', 'incid', 'brighten', 'day']"
 Enjoying a quiet evening with a book and some tea.      ,2023-02-14 19:45:00, BookLoverAgain  ,Facebook,25,50,Canada,2023,February,Tuesday,enjoy quiet even book tea,0.4939,positive,"['enjoy', 'quiet', 'even', 'book', 'tea']"
 Admiring the beauty of nature during a peaceful hike.   ,2023-02-15 11:30:00, NatureAdmirer   ,Twitter,20,40,USA,2023,February,Wednesday,admir beauti natur peac hike,0.0,neutral,"['admir', 'beauti', 'natur', 'peac', 'hike']"
 Sending affectionate vibes to all my followers!          ,2023-02-15 16:00:00, AffectionSender ,Instagram,15,30,USA,2023,February,Wednesday,send affection vibe follow,0.5267,positive,"['send', 'affection', 'vibe', 'follow']"
 Experiencing awe at the breathtaking sunset.            ,2023-02-15 20:30:00, AweStruck       ,Facebook,22,45,Australia,2023,February,Wednesday,experienc awe breathtak sunset,0.0,neutral,"['experienc', 'awe', 'breathtak', 'sunset']"
 Disappointed with the service at a local restaurant.    ,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter,18,35,India,2023,February,Thursday,disappoint servic local restaur,-0.4019,negative,"['disappoint', 'servic', 'local', 'restaur']"
 A surprise gift from a friend made my day!              ,2023-02-16 14:45:00, HappySurprise   ,Instagram,25,50,USA,2023,February,Thursday,surpris gift friend made day,0.7269,positive,"['surpris', 'gift', 'friend', 'made', 'day']"
 Finding acceptance in the midst of life's challenges.   ,2023-02-16 18:20:00, AcceptanceSeeker,Facebook,15,30,Canada,2023,February,Thursday,find accept midst life challeng,0.3818,positive,"['find', 'accept', 'midst', 'life', 'challeng']"
 Overflowing with adoration for my adorable pet! 🐾      ,2023-02-17 10:45:00, PetAdorer       ,Twitter,22,45,UK,2023,February,Friday,overflow ador ador pet,0.0,neutral,"['overflow', 'ador', 'ador', 'pet']"
 Anticipating a thrilling adventure in the coming weeks. ,2023-02-17 07:30:00, AdventureAwaits  ,Instagram,20,40,USA,2023,February,Friday,anticip thrill adventur come week,0.3612,positive,"['anticip', 'thrill', 'adventur', 'come', 'week']"
 A bitter experience turned into a valuable lesson.      ,2023-02-17 15:00:00, LearnFromBitter ,Facebook,18,35,USA,2023,February,Friday,bitter experi turn valuabl lesson,-0.4215,negative,"['bitter', 'experi', 'turn', 'valuabl', 'lesson']"
 Finding calmness in the midst of a busy day.            ,2023-02-18 09:30:00, ZenMaster       ,Twitter,15,30,India,2023,February,Saturday,find calm midst busi day,0.3182,positive,"['find', 'calm', 'midst', 'busi', 'day']"
 Confusion clouds my mind as I navigate through decisions.,2023-02-18 14:20:00, ConfusedMind    ,Instagram,25,50,UK,2023,February,Saturday,confus cloud mind navig decis,0.0,neutral,"['confus', 'cloud', 'mind', 'navig', 'decis']"
 Excitement building up for the upcoming vacation!       ,2023-02-18 18:45:00, VacationDreamer ,Facebook,22,45,Canada,2023,February,Saturday,excit build upcom vacat,0.0,neutral,"['excit', 'build', 'upcom', 'vacat']"
 Kindness witnessed today restored my faith in humanity. ,2023-02-19 11:30:00, KindnessPrevails,Twitter,20,40,USA,2023,February,Sunday,kind wit today restor faith human,0.7351,positive,"['kind', 'wit', 'today', 'restor', 'faith', 'human']"
 Pride in achieving a personal milestone.               ,2023-02-19 16:00:00, PersonalAchiever,Instagram,30,60,Australia,2023,February,Sunday,pride achiev person mileston,0.34,positive,"['pride', 'achiev', 'person', 'mileston']"
 A moment of shame for not standing up against injustice. ,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook,15,30,India,2023,February,Sunday,moment shame stand injustic,-0.4767,negative,"['moment', 'shame', 'stand', 'injustic']"
 Fuming with anger after a heated argument.            ,2023-02-20 09:30:00, AngryDebater    ,Twitter,20,40,Canada,2023,February,Monday,fume anger heat argument,-0.8126,negative,"['fume', 'anger', 'heat', 'argument']"
 The fear of the unknown is keeping me up at night.    ,2023-02-20 21:15:00, FearfulDreamer  ,Instagram,15,30,USA,2023,February,Monday,fear unknown keep night,-0.4939,negative,"['fear', 'unknown', 'keep', 'night']"
 Heartfelt sadness after bidding farewell to a dear friend. ,2023-02-21 14:45:00, FarewellHeart   ,Facebook,25,50,India,2023,February,Tuesday,heartfelt sad bid farewel dear friend,0.7351,positive,"['heartfelt', 'sad', 'bid', 'farewel', 'dear', 'friend']"
 The state of corruption in our society is utterly disgusting. ,2023-02-21 18:20:00, AntiCorruption  ,Twitter,18,35,UK,2023,February,Tuesday,state corrupt societi utterli disgust,-0.5994,negative,"['state', 'corrupt', 'societi', 'utterli', 'disgust']"
 Overflowing happiness: welcoming a new family member!  ,2023-02-22 10:00:00, NewParentJoy    ,Instagram,30,60,UK,2023,February,Wednesday,overflow happi welcom new famili member,0.0,neutral,"['overflow', 'happi', 'welcom', 'new', 'famili', 'member']"
 Laughter is the key to joy—attending a stand-up comedy show. ,2023-02-22 19:30:00, StandUpFan      ,Facebook,22,45,Canada,2023,February,Wednesday,laughter key joyattend standup comedi show,0.4939,positive,"['laughter', 'key', 'joyattend', 'standup', 'comedi', 'show']"
 Sending love to all my followers on this beautiful day! ❤️ ,2023-02-23 08:30:00, LoveSender      ,Twitter,15,30,Australia,2023,February,Thursday,send love follow beauti day,0.6369,positive,"['send', 'love', 'follow', 'beauti', 'day']"
 Amused by the antics of my pet—it's pure amusement!      ,2023-02-23 14:20:00, PetAmuser       ,Instagram,18,35,UK,2023,February,Thursday,amus antic petit pure amus,0.0,neutral,"['amus', 'antic', 'petit', 'pure', 'amus']"
 Enjoying every moment of this trip—pure enjoyment!      ,2023-02-23 19:45:00, TravelExplorer  ,Facebook,25,50,USA,2023,February,Thursday,enjoy everi moment trippur enjoy,0.7506,positive,"['enjoy', 'everi', 'moment', 'trippur', 'enjoy']"
 Admiring the dedication of volunteers at a local charity. ,2023-02-24 11:30:00, CharityAdmirer  ,Twitter,20,40,USA,2023,February,Friday,admir dedic volunt local chariti,0.0,neutral,"['admir', 'dedic', 'volunt', 'local', 'chariti']"
 Sending affectionate vibes to friends and family.        ,2023-02-24 16:00:00, FamilyLover     ,Instagram,15,30,USA,2023,February,Friday,send affection vibe friend famili,0.765,positive,"['send', 'affection', 'vibe', 'friend', 'famili']"
 Awe-struck by the beauty of the night sky.               ,2023-02-24 20:30:00, Stargazer       ,Facebook,22,45,Australia,2023,February,Friday,awestruck beauti night sky,0.0,neutral,"['awestruck', 'beauti', 'night', 'sky']"
 Disappointed with the lack of progress in a personal project. ,2023-02-25 09:00:00, ProjectStruggle ,Twitter,18,35,India,2023,February,Saturday,disappoint lack progress person project,-0.296,negative,"['disappoint', 'lack', 'progress', 'person', 'project']"
 A surprise visit from an old friend brought tears of joy. ,2023-02-25 14:45:00, JoyfulReunion   ,Instagram,25,50,USA,2023,February,Saturday,surpris visit old friend brought tear joy,0.7906,positive,"['surpris', 'visit', 'old', 'friend', 'brought', 'tear', 'joy']"
 Embracing acceptance of life's ups and downs.           ,2023-02-25 18:20:00, LifeAcceptance  ,Facebook,15,30,Canada,2023,February,Saturday,embrac accept life up down,0.3818,positive,"['embrac', 'accept', 'life', 'up', 'down']"
 Overflowing adoration for a cute rescue puppy! 🐶       ,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter,22,45,UK,2023,February,Sunday,overflow ador cute rescu puppi,0.4588,positive,"['overflow', 'ador', 'cute', 'rescu', 'puppi']"
 Anticipating the release of a much-awaited movie.       ,2023-02-26 07:30:00, MovieBuff2      ,Instagram,20,40,Australia,2023,February,Sunday,anticip releas muchawait movi,0.0,neutral,"['anticip', 'releas', 'muchawait', 'movi']"
 Bitter experience at the customer service department.   ,2023-02-26 15:00:00, CustomerWoes    ,Facebook,18,35,USA,2023,February,Sunday,bitter experi custom servic depart,-0.4215,negative,"['bitter', 'experi', 'custom', 'servic', 'depart']"
 Finding calmness amidst the chaos of daily life.        ,2023-02-27 09:30:00, CalmSoul        ,Twitter,15,30,India,2023,February,Monday,find calm amidst chao daili life,0.3182,positive,"['find', 'calm', 'amidst', 'chao', 'daili', 'life']"
 Confusion reigns as I try to make sense of recent events.,2023-02-27 14:20:00, ConfusedMind2   ,Instagram,25,50,UK,2023,February,Monday,confus reign tri make sens recent event,0.0,neutral,"['confus', 'reign', 'tri', 'make', 'sens', 'recent', 'event']"
 Excitement building up for a surprise birthday party.   ,2023-02-27 18:45:00, BirthdayExcite  ,Facebook,22,45,Canada,2023,February,Monday,excit build surpris birthday parti,0.0,neutral,"['excit', 'build', 'surpris', 'birthday', 'parti']"
 Witnessed an act of kindness that made my day.          ,2023-02-28 11:30:00, KindnessObserver,Twitter,20,40,USA,2023,February,Tuesday,wit act kind made day,0.5267,positive,"['wit', 'act', 'kind', 'made', 'day']"
 Pride in completing a challenging fitness challenge.    ,2023-02-28 16:00:00, FitAchiever     ,Instagram,30,60,UK,2023,February,Tuesday,pride complet challeng fit challeng,0.5994,positive,"['pride', 'complet', 'challeng', 'fit', 'challeng']"
 A moment of shame for not speaking up against injustice.,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook,15,30,India,2023,February,Tuesday,moment shame speak injustic,-0.4767,negative,"['moment', 'shame', 'speak', 'injustic']"
 Reflecting on the beauty of diversity in our world.     ,2023-03-01 10:45:00, DiversityLover  ,Twitter,22,45,Australia,2023,March,Wednesday,reflect beauti divers world,0.0,neutral,"['reflect', 'beauti', 'divers', 'world']"
 Excitement for a quiet evening with a good book.        ,2023-03-01 13:30:00, BookwormJoy     ,Instagram,18,35,USA,2023,March,Wednesday,excit quiet even good book,0.4404,positive,"['excit', 'quiet', 'even', 'good', 'book']"
 Feeling bitter about the unfairness in the workplace.   ,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter,15,30,Canada,2023,March,Wednesday,feel bitter unfair workplac,-0.7096,negative,"['feel', 'bitter', 'unfair', 'workplac']"
 Calmness prevails as I practice mindfulness.            ,2023-03-02 18:00:00, MindfulMe       ,Facebook,15,30,UK,2023,March,Thursday,calm prevail practic mind,0.3182,positive,"['calm', 'prevail', 'practic', 'mind']"
 Confusion surrounds me as I navigate through life's choices. ,2023-03-02 13:15:00, ConfusedMind3   ,Instagram,30,60,USA,2023,March,Thursday,confus surround navig life choic,0.0,neutral,"['confus', 'surround', 'navig', 'life', 'choic']"
 Excitement for a weekend road trip to explore new places. ,2023-03-02 16:45:00, RoadTripper2    ,Twitter,25,50,India,2023,March,Thursday,excit weekend road trip explor new place,0.0,neutral,"['excit', 'weekend', 'road', 'trip', 'explor', 'new', 'place']"
 Kindness witnessed today restores my faith in humanity.  ,2023-03-03 11:30:00, KindnessPrevails2,Facebook,22,45,USA,2023,March,Friday,kind wit today restor faith human,0.7351,positive,"['kind', 'wit', 'today', 'restor', 'faith', 'human']"
 Pride in accomplishing personal and professional goals.  ,2023-03-03 14:30:00, GoalAchiever    ,Instagram,12,25,Canada,2023,March,Friday,pride accomplish person profession goal,0.6369,positive,"['pride', 'accomplish', 'person', 'profession', 'goal']"
 Shame for not being true to my values in a difficult situation.,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter,15,30,UK,2023,March,Friday,shame true valu difficult situat,-0.4215,negative,"['shame', 'true', 'valu', 'difficult', 'situat']"
" Revisiting old memories, feeling a sense of elation. ",2010-05-15 15:30:00, NostalgiaFan    ,Twitter,20,40,Canada,2010,May,Saturday,revisit old memori feel sens elat,0.0,neutral,"['revisit', 'old', 'memori', 'feel', 'sens', 'elat']"
 The victory of our team brought euphoria to the city. ,2021-08-10 21:15:00, SportsFanatic   ,Instagram,15,30,USA,2021,August,Tuesday,victori team brought euphoria citi,0.6486,positive,"['victori', 'team', 'brought', 'euphoria', 'citi']"
" Embracing the beauty of nature, a moment of contentment. ",2011-06-20 14:45:00, NatureLover2    ,Facebook,25,50,India,2011,June,Monday,embrac beauti natur moment content,0.0,neutral,"['embrac', 'beauti', 'natur', 'moment', 'content']"
" Meditating by the serene lake, finding inner peace.   ",2022-02-12 18:20:00, ZenMaster2      ,Twitter,18,35,UK,2022,February,Saturday,medit seren lake find inner peac,0.0,neutral,"['medit', 'seren', 'lake', 'find', 'inner', 'peac']"
 Overflowing with gratitude for life's blessings.      ,2012-11-25 10:00:00, ThankfulHeart   ,Instagram,30,60,Australia,2012,November,Sunday,overflow gratitud life bless,0.4215,positive,"['overflow', 'gratitud', 'life', 'bless']"
" Hopeful for a brighter tomorrow, despite challenges.  ",2013-04-05 19:30:00, OptimisticSoul  ,Facebook,22,45,USA,2013,April,Friday,hope brighter tomorrow despit challeng,0.6705,positive,"['hope', 'brighter', 'tomorrow', 'despit', 'challeng']"
 Empowered to make a difference in my community.        ,2014-09-14 08:30:00, CommunityLeader ,Twitter,15,30,UK,2014,September,Sunday,empow make differ commun,0.0,neutral,"['empow', 'make', 'differ', 'commun']"
 Compassion in action: supporting a local charity event. ,2015-07-18 14:20:00, CharitySupporter,Instagram,18,35,Canada,2015,July,Saturday,compass action support local chariti event,0.4019,positive,"['compass', 'action', 'support', 'local', 'chariti', 'event']"
" A moment of tenderness, connecting with loved ones.    ",2016-02-23 19:45:00, LovingHeart     ,Facebook,25,50,UK,2016,February,Tuesday,moment tender connect love one,0.6369,positive,"['moment', 'tender', 'connect', 'love', 'one']"
 Arousal of excitement as I await a special announcement.,2017-10-30 11:30:00, ExcitementFan   ,Twitter,20,40,Australia,2017,October,Monday,arous excit await special announc,0.4767,positive,"['arous', 'excit', 'await', 'special', 'announc']"
 Enthusiastically diving into a new project.            ,2018-06-15 16:00:00, ProjectEnthusiast,Instagram,15,30,USA,2018,June,Friday,enthusiast dive new project,0.3612,positive,"['enthusiast', 'dive', 'new', 'project']"
 Feeling a sense of fulfillment after reaching a milestone.,2019-03-28 18:20:00, MilestoneAchiever,Facebook,22,45,India,2019,March,Thursday,feel sens fulfil reach mileston,0.0258,neutral,"['feel', 'sens', 'fulfil', 'reach', 'mileston']"
 Reverence for the beauty of a historic landmark.       ,2019-11-11 15:00:00, HistoryLover    ,Twitter,18,35,UK,2019,November,Monday,rever beauti histor landmark,0.0772,positive,"['rever', 'beauti', 'histor', 'landmark']"
 Elation after a surprise reunion with old friends.    ,2020-04-02 09:30:00, JoyfulReunion2  ,Instagram,25,50,Canada,2020,April,Thursday,elat surpris reunion old friend,0.4939,positive,"['elat', 'surpris', 'reunion', 'old', 'friend']"
 The euphoria of a live music concert under the stars.  ,2021-06-19 14:45:00, MusicEnthusiast ,Facebook,15,30,USA,2021,June,Saturday,euphoria live music concert star,0.6486,positive,"['euphoria', 'live', 'music', 'concert', 'star']"
 Contentment in the simplicity of a quiet Sunday.       ,2010-08-15 10:00:00, SimpleJoys      ,Twitter,30,60,Australia,2010,August,Sunday,content simplic quiet sunday,0.0,neutral,"['content', 'simplic', 'quiet', 'sunday']"
 Serenity found in the pages of a favorite book.        ,2011-09-22 19:30:00, BookLover3      ,Instagram,22,45,UK,2011,September,Thursday,seren found page favorit book,0.0,neutral,"['seren', 'found', 'page', 'favorit', 'book']"
